id,Category,Sub_Category,title/entity_name,questions,answers,additional_info/tags
25,Placements,Company Information,Learning Route Package (2024-2025),"What was the package from Learning Route in 2024-2025?
Tell me the salary Learning Route offered.
Learning Route ctc","In the 2024-2025 session, Learning Route offered a package of 5.7 LPA.","placements, company, learning_route, package, salary, ctc, 2024-2025"
26,Placements,Company Information,Learning Route Visiting Date (2024-2025),"When did Learning Route visit for placements in 2024-2025?
Learning Route campus visit date?",Learning Route visited for recruitments on 20th Sept 2024 during the 2024-2025 session.,"placements, company, learning_route, date, visit, schedule, 2024-2025"
27,Placements,Company Information,Learning Route Eligible Branches (2024-2025),"Which branches were eligible for Learning Route in 2024-2025?
Who could apply for Learning Route?
Learning Route eligibility","For the 2024-2025 placement drive, the eligible branches for Learning Route were: CSE, IT, AIDS, ECE, EE, ME, MBA.","placements, company, learning_route, branches, eligibility, apply, 2024-2025"
28,Placements,Company Information,Juspay Package (2024-2025),"What was the package from Juspay in 2024-2025?
Tell me the salary Juspay offered.
Juspay ctc","In the 2024-2025 session, Juspay offered a package of 27.0 LPA.","placements, company, juspay, package, salary, ctc, 2024-2025"
29,Placements,Company Information,Juspay Visiting Date (2024-2025),"When did Juspay visit for placements in 2024-2025?
Juspay campus visit date?",Juspay visited for recruitments on 20th Sept 2024 during the 2024-2025 session.,"placements, company, juspay, date, visit, schedule, 2024-2025"
30,Placements,Company Information,Juspay Eligible Branches (2024-2025),"Which branches were eligible for Juspay in 2024-2025?
Who could apply for Juspay?
Juspay eligibility","For the 2024-2025 placement drive, the eligible branches for Juspay were: CSE, IT, AIDS, ECE, EE, ME.","placements, company, juspay, branches, eligibility, apply, 2024-2025"
31,Placements,Company Information,Prodesk IT Package (2024-2025),"What was the package from Prodesk IT in 2024-2025?
Tell me the salary Prodesk IT offered.
Prodesk IT ctc","In the 2024-2025 session, Prodesk IT offered a package of 5.6 LPA.","placements, company, prodesk_it, package, salary, ctc, 2024-2025"
32,Placements,Company Information,Prodesk IT Visiting Date (2024-2025),"When did Prodesk IT visit for placements in 2024-2025?
Prodesk IT campus visit date?",Prodesk IT visited for recruitments on 21st Sept 2024 during the 2024-2025 session.,"placements, company, prodesk_it, date, visit, schedule, 2024-2025"
33,Placements,Company Information,Prodesk IT Eligible Branches (2024-2025),"Which branches were eligible for Prodesk IT in 2024-2025?
Who could apply for Prodesk IT?
Prodesk IT eligibility","For the 2024-2025 placement drive, the eligible branches for Prodesk IT were: CSE, IT, AIDS, ECE, EE, ME, MBA.","placements, company, prodesk_it, branches, eligibility, apply, 2024-2025"
34,Placements,Company Information,i2V Systems Package (2024-2025),"What was the package from i2V Systems in 2024-2025?
Tell me the salary i2V Systems offered.
i2V Systems ctc","In the 2024-2025 session, i2V Systems offered a package of 5.7 LPA.","placements, company, i2v_systems, package, salary, ctc, 2024-2025"
35,Placements,Company Information,i2V Systems Visiting Date (2024-2025),"When did i2V Systems visit for placements in 2024-2025?
i2V Systems campus visit date?",i2V Systems visited for recruitments on 23rd Sept 2024 during the 2024-2025 session.,"placements, company, i2v_systems, date, visit, schedule, 2024-2025"
36,Placements,Company Information,i2V Systems Eligible Branches (2024-2025),"Which branches were eligible for i2V Systems in 2024-2025?
Who could apply for i2V Systems?
i2V Systems eligibility","For the 2024-2025 placement drive, the eligible branches for i2V Systems were: CSE, IT, AIDS, ECE.","placements, company, i2v_systems, branches, eligibility, apply, 2024-2025"
37,Placements,Company Information,Mechlin Technologies Package (2024-2025),"What was the package from Mechlin Technologies in 2024-2025?
Tell me the salary Mechlin Technologies offered.
Mechlin Technologies ctc","In the 2024-2025 session, Mechlin Technologies offered a package of 5.0 LPA.","placements, company, mechlin_technologies, package, salary, ctc, 2024-2025"
38,Placements,Company Information,Mechlin Technologies Visiting Date (2024-2025),"When did Mechlin Technologies visit for placements in 2024-2025?
Mechlin Technologies campus visit date?",Mechlin Technologies visited for recruitments on 30th Sept 2024 during the 2024-2025 session.,"placements, company, mechlin_technologies, date, visit, schedule, 2024-2025"
39,Placements,Company Information,Mechlin Technologies Eligible Branches (2024-2025),"Which branches were eligible for Mechlin Technologies in 2024-2025?
Who could apply for Mechlin Technologies?
Mechlin Technologies eligibility","For the 2024-2025 placement drive, the eligible branches for Mechlin Technologies were: CSE, IT, AIDS, ECE, MBA.","placements, company, mechlin_technologies, branches, eligibility, apply, 2024-2025"
40,Placements,Company Information,Planet-Spark Package (2024-2025),"What was the package from Planet-Spark in 2024-2025?
Tell me the salary Planet-Spark offered.
Planet-Spark ctc","In the 2024-2025 session, Planet-Spark offered a package of 6.5 LPA.","placements, company, planet-spark, package, salary, ctc, 2024-2025"
41,Placements,Company Information,Planet-Spark Visiting Date (2024-2025),"When did Planet-Spark visit for placements in 2024-2025?
Planet-Spark campus visit date?",Planet-Spark visited for recruitments on 1st Oct 2024 during the 2024-2025 session.,"placements, company, planet-spark, date, visit, schedule, 2024-2025"
42,Placements,Company Information,Planet-Spark Eligible Branches (2024-2025),"Which branches were eligible for Planet-Spark in 2024-2025?
Who could apply for Planet-Spark?
Planet-Spark eligibility","For the 2024-2025 placement drive, the eligible branches for Planet-Spark were: CSE, IT, AIDS, ECE, EE, ME, MBA.","placements, company, planet-spark, branches, eligibility, apply, 2024-2025"
43,Placements,Company Information,DeltaX Package (2024-2025),"What was the package from DeltaX in 2024-2025?
Tell me the salary DeltaX offered.
DeltaX ctc","In the 2024-2025 session, DeltaX offered a package of 5.0 LPA.","placements, company, deltax, package, salary, ctc, 2024-2025"
44,Placements,Company Information,DeltaX Visiting Date (2024-2025),"When did DeltaX visit for placements in 2024-2025?
DeltaX campus visit date?",DeltaX visited for recruitments on 7th Oct 2024 during the 2024-2025 session.,"placements, company, deltax, date, visit, schedule, 2024-2025"
45,Placements,Company Information,DeltaX Eligible Branches (2024-2025),"Which branches were eligible for DeltaX in 2024-2025?
Who could apply for DeltaX?
DeltaX eligibility","For the 2024-2025 placement drive, the eligible branches for DeltaX were: CSE, IT, AIDS, ECE, EE, ME.","placements, company, deltax, branches, eligibility, apply, 2024-2025"
46,Placements,Company Information,Mckinley Rice Package (2024-2025),"What was the package from Mckinley Rice in 2024-2025?
Tell me the salary Mckinley Rice offered.
Mckinley Rice ctc","In the 2024-2025 session, Mckinley Rice offered a package of 6.0 LPA.","placements, company, mckinley_rice, package, salary, ctc, 2024-2025"
47,Placements,Company Information,Mckinley Rice Visiting Date (2024-2025),"When did Mckinley Rice visit for placements in 2024-2025?
Mckinley Rice campus visit date?",Mckinley Rice visited for recruitments on 14th Oct 2024 during the 2024-2025 session.,"placements, company, mckinley_rice, date, visit, schedule, 2024-2025"
48,Placements,Company Information,Mckinley Rice Eligible Branches (2024-2025),"Which branches were eligible for Mckinley Rice in 2024-2025?
Who could apply for Mckinley Rice?
Mckinley Rice eligibility","For the 2024-2025 placement drive, the eligible branches for Mckinley Rice were: CSE, IT, AIDS, ECE, EE, ME, MBA.","placements, company, mckinley_rice, branches, eligibility, apply, 2024-2025"
49,Placements,Company Information,Jaro Education Package (2024-2025),"What was the package from Jaro Education in 2024-2025?
Tell me the salary Jaro Education offered.
Jaro Education ctc","In the 2024-2025 session, Jaro Education offered a package of 8.58 LPA.","placements, company, jaro_education, package, salary, ctc, 2024-2025"
50,Placements,Company Information,Jaro Education Visiting Date (2024-2025),"When did Jaro Education visit for placements in 2024-2025?
Jaro Education campus visit date?",Jaro Education visited for recruitments on 16th Oct 2024 during the 2024-2025 session.,"placements, company, jaro_education, date, visit, schedule, 2024-2025"
51,Placements,Company Information,Jaro Education Eligible Branches (2024-2025),"Which branches were eligible for Jaro Education in 2024-2025?
Who could apply for Jaro Education?
Jaro Education eligibility","For the 2024-2025 placement drive, the eligible branches for Jaro Education were: CSE, IT, AIDS, ECE, EE, ME, MBA.","placements, company, jaro_education, branches, eligibility, apply, 2024-2025"
52,Placements,Company Information,75Way Technologies Package (2024-2025),"What was the package from 75Way Technologies in 2024-2025?
Tell me the salary 75Way Technologies offered.
75Way Technologies ctc","In the 2024-2025 session, 75Way Technologies offered a package of 5.0 LPA.","placements, company, 75way_technologies, package, salary, ctc, 2024-2025"
53,Placements,Company Information,75Way Technologies Visiting Date (2024-2025),"When did 75Way Technologies visit for placements in 2024-2025?
75Way Technologies campus visit date?",75Way Technologies visited for recruitments on 17th Oct 2024 during the 2024-2025 session.,"placements, company, 75way_technologies, date, visit, schedule, 2024-2025"
54,Placements,Company Information,75Way Technologies Eligible Branches (2024-2025),"Which branches were eligible for 75Way Technologies in 2024-2025?
Who could apply for 75Way Technologies?
75Way Technologies eligibility","For the 2024-2025 placement drive, the eligible branches for 75Way Technologies were: CSE, IT, AIDS.","placements, company, 75way_technologies, branches, eligibility, apply, 2024-2025"
55,Placements,Company Information,WIPL Package (2024-2025),"What was the package from WIPL in 2024-2025?
Tell me the salary WIPL offered.
WIPL ctc","In the 2024-2025 session, WIPL offered a package of 6.0 LPA.","placements, company, wipl, package, salary, ctc, 2024-2025"
56,Placements,Company Information,WIPL Visiting Date (2024-2025),"When did WIPL visit for placements in 2024-2025?
WIPL campus visit date?",WIPL visited for recruitments on 21st Oct 2024 during the 2024-2025 session.,"placements, company, wipl, date, visit, schedule, 2024-2025"
57,Placements,Company Information,WIPL Eligible Branches (2024-2025),"Which branches were eligible for WIPL in 2024-2025?
Who could apply for WIPL?
WIPL eligibility","For the 2024-2025 placement drive, the eligible branches for WIPL were: CSE, IT, AIDS, ECE, EE, MBA.","placements, company, wipl, branches, eligibility, apply, 2024-2025"
58,Placements,Company Information,Infoobject Package (2024-2025),"What was the package from Infoobject in 2024-2025?
Tell me the salary Infoobject offered.
Infoobject ctc","In the 2024-2025 session, Infoobject offered a package of 3.6 LPA.","placements, company, infoobject, package, salary, ctc, 2024-2025"
59,Placements,Company Information,Infoobject Visiting Date (2024-2025),"When did Infoobject visit for placements in 2024-2025?
Infoobject campus visit date?",Infoobject visited for recruitments on 25th Oct 2024 during the 2024-2025 session.,"placements, company, infoobject, date, visit, schedule, 2024-2025"
60,Placements,Company Information,Infoobject Eligible Branches (2024-2025),"Which branches were eligible for Infoobject in 2024-2025?
Who could apply for Infoobject?
Infoobject eligibility","For the 2024-2025 placement drive, the eligible branches for Infoobject were: CSE, IT, AIDS.","placements, company, infoobject, branches, eligibility, apply, 2024-2025"
61,Placements,Company Information,ASCENDION Package (2024-2025),"What was the package from ASCENDION in 2024-2025?
Tell me the salary ASCENDION offered.
ASCENDION ctc","In the 2024-2025 session, ASCENDION offered a package of 3.0 LPA.","placements, company, ascendion, package, salary, ctc, 2024-2025"
62,Placements,Company Information,ASCENDION Visiting Date (2024-2025),"When did ASCENDION visit for placements in 2024-2025?
ASCENDION campus visit date?",ASCENDION visited for recruitments on 12th Nov 2024 during the 2024-2025 session.,"placements, company, ascendion, date, visit, schedule, 2024-2025"
63,Placements,Company Information,ASCENDION Eligible Branches (2024-2025),"Which branches were eligible for ASCENDION in 2024-2025?
Who could apply for ASCENDION?
ASCENDION eligibility","For the 2024-2025 placement drive, the eligible branches for ASCENDION were: CSE, IT, AIDS, ECE, EE, MBA.","placements, company, ascendion, branches, eligibility, apply, 2024-2025"
64,Placements,Company Information,ApMoSys Technologies Package (2024-2025),"What was the package from ApMoSys Technologies in 2024-2025?
Tell me the salary ApMoSys Technologies offered.
ApMoSys Technologies ctc","In the 2024-2025 session, ApMoSys Technologies offered a package of 6.0 LPA.","placements, company, apmosys_technologies, package, salary, ctc, 2024-2025"
65,Placements,Company Information,ApMoSys Technologies Visiting Date (2024-2025),"When did ApMoSys Technologies visit for placements in 2024-2025?
ApMoSys Technologies campus visit date?",ApMoSys Technologies visited for recruitments on 15-16th Nov 2024 during the 2024-2025 session.,"placements, company, apmosys_technologies, date, visit, schedule, 2024-2025"
66,Placements,Company Information,ApMoSys Technologies Eligible Branches (2024-2025),"Which branches were eligible for ApMoSys Technologies in 2024-2025?
Who could apply for ApMoSys Technologies?
ApMoSys Technologies eligibility","For the 2024-2025 placement drive, the eligible branches for ApMoSys Technologies were: CSE, IT, AIDS, ECE, EE.","placements, company, apmosys_technologies, branches, eligibility, apply, 2024-2025"
67,Placements,Company Information,Hashedin by Deloitte Package (2024-2025),"What was the package from Hashedin by Deloitte in 2024-2025?
Tell me the salary Hashedin by Deloitte offered.
Hashedin by Deloitte ctc","In the 2024-2025 session, Hashedin by Deloitte offered a package of 8.1 LPA.","placements, company, hashedin_by_deloitte, package, salary, ctc, 2024-2025"
68,Placements,Company Information,Hashedin by Deloitte Visiting Date (2024-2025),"When did Hashedin by Deloitte visit for placements in 2024-2025?
Hashedin by Deloitte campus visit date?",Hashedin by Deloitte visited for recruitments on 26th Nov 2024 during the 2024-2025 session.,"placements, company, hashedin_by_deloitte, date, visit, schedule, 2024-2025"
69,Placements,Company Information,Hashedin by Deloitte Eligible Branches (2024-2025),"Which branches were eligible for Hashedin by Deloitte in 2024-2025?
Who could apply for Hashedin by Deloitte?
Hashedin by Deloitte eligibility","For the 2024-2025 placement drive, the eligible branches for Hashedin by Deloitte were: CSE, IT.","placements, company, hashedin_by_deloitte, branches, eligibility, apply, 2024-2025"
70,Placements,Company Information,Programmers.io Package (2024-2025),"What was the package from Programmers.io in 2024-2025?
Tell me the salary Programmers.io offered.
Programmers.io ctc","In the 2024-2025 session, Programmers.io offered a package of 3.5 LPA.","placements, company, programmersio, package, salary, ctc, 2024-2025"
71,Placements,Company Information,Programmers.io Visiting Date (2024-2025),"When did Programmers.io visit for placements in 2024-2025?
Programmers.io campus visit date?",Programmers.io visited for recruitments on 27th Nov 2024 during the 2024-2025 session.,"placements, company, programmersio, date, visit, schedule, 2024-2025"
72,Placements,Company Information,Programmers.io Eligible Branches (2024-2025),"Which branches were eligible for Programmers.io in 2024-2025?
Who could apply for Programmers.io?
Programmers.io eligibility","For the 2024-2025 placement drive, the eligible branches for Programmers.io were: CSE, IT, AIDS, ECE, EE, ME.","placements, company, programmersio, branches, eligibility, apply, 2024-2025"
73,Placements,Company Information,Polycab India Pvt. Ltd. Package (2024-2025),"What was the package from Polycab India Pvt. Ltd. in 2024-2025?
Tell me the salary Polycab India Pvt. Ltd. offered.
Polycab India Pvt. Ltd. ctc","In the 2024-2025 session, Polycab India Pvt. Ltd. offered a package of 4.5 LPA.","placements, company, polycab_india_pvt_ltd, package, salary, ctc, 2024-2025"
74,Placements,Company Information,Polycab India Pvt. Ltd. Visiting Date (2024-2025),"When did Polycab India Pvt. Ltd. visit for placements in 2024-2025?
Polycab India Pvt. Ltd. campus visit date?",Polycab India Pvt. Ltd. visited for recruitments on 5th-6th Dec 2024 during the 2024-2025 session.,"placements, company, polycab_india_pvt_ltd, date, visit, schedule, 2024-2025"
75,Placements,Company Information,Polycab India Pvt. Ltd. Eligible Branches (2024-2025),"Which branches were eligible for Polycab India Pvt. Ltd. in 2024-2025?
Who could apply for Polycab India Pvt. Ltd.?
Polycab India Pvt. Ltd. eligibility","For the 2024-2025 placement drive, the eligible branches for Polycab India Pvt. Ltd. were: ECE, EE, ME.","placements, company, polycab_india_pvt_ltd, branches, eligibility, apply, 2024-2025"
76,Placements,Company Information,Codetrade India Package (2024-2025),"What was the package from Codetrade India in 2024-2025?
Tell me the salary Codetrade India offered.
Codetrade India ctc","In the 2024-2025 session, Codetrade India offered a package of 4.0 LPA.","placements, company, codetrade_india, package, salary, ctc, 2024-2025"
77,Placements,Company Information,Codetrade India Visiting Date (2024-2025),"When did Codetrade India visit for placements in 2024-2025?
Codetrade India campus visit date?",Codetrade India visited for recruitments on 13th Dec 2024 during the 2024-2025 session.,"placements, company, codetrade_india, date, visit, schedule, 2024-2025"
78,Placements,Company Information,Codetrade India Eligible Branches (2024-2025),"Which branches were eligible for Codetrade India in 2024-2025?
Who could apply for Codetrade India?
Codetrade India eligibility","For the 2024-2025 placement drive, the eligible branches for Codetrade India were: CSE, IT, AIDS, ECE.","placements, company, codetrade_india, branches, eligibility, apply, 2024-2025"
79,Placements,Company Information,Wonder Cement Package (2024-2025),"What was the package from Wonder Cement in 2024-2025?
Tell me the salary Wonder Cement offered.
Wonder Cement ctc","In the 2024-2025 session, Wonder Cement offered a package of 4.0 LPA.","placements, company, wonder_cement, package, salary, ctc, 2024-2025"
80,Placements,Company Information,Wonder Cement Visiting Date (2024-2025),"When did Wonder Cement visit for placements in 2024-2025?
Wonder Cement campus visit date?",Wonder Cement visited for recruitments on 15th Dec 2024 during the 2024-2025 session.,"placements, company, wonder_cement, date, visit, schedule, 2024-2025"
81,Placements,Company Information,Wonder Cement Eligible Branches (2024-2025),"Which branches were eligible for Wonder Cement in 2024-2025?
Who could apply for Wonder Cement?
Wonder Cement eligibility","For the 2024-2025 placement drive, the eligible branches for Wonder Cement were: CSE, IT, AIDS, ECE, EE, ME.","placements, company, wonder_cement, branches, eligibility, apply, 2024-2025"
82,Placements,Company Information,Amazon Package (2024-2025),"What was the package from Amazon in 2024-2025?
Tell me the salary Amazon offered.
Amazon ctc","In the 2024-2025 session, Amazon offered a package of 5.5 LPA.","placements, company, amazon, package, salary, ctc, 2024-2025"
83,Placements,Company Information,Amazon Visiting Date (2024-2025),"When did Amazon visit for placements in 2024-2025?
Amazon campus visit date?",Amazon visited for recruitments on 10th Jan 2025 during the 2024-2025 session.,"placements, company, amazon, date, visit, schedule, 2024-2025"
84,Placements,Company Information,Amazon Eligible Branches (2024-2025),"Which branches were eligible for Amazon in 2024-2025?
Who could apply for Amazon?
Amazon eligibility","For the 2024-2025 placement drive, the eligible branches for Amazon were: EE, ME.","placements, company, amazon, branches, eligibility, apply, 2024-2025"
85,Placements,Company Information,Indus Towers Limited Package (2024-2025),"What was the package from Indus Towers Limited in 2024-2025?
Tell me the salary Indus Towers Limited offered.
Indus Towers Limited ctc","In the 2024-2025 session, Indus Towers Limited offered a package of 4.0 LPA.","placements, company, indus_towers_limited, package, salary, ctc, 2024-2025"
86,Placements,Company Information,Indus Towers Limited Visiting Date (2024-2025),"When did Indus Towers Limited visit for placements in 2024-2025?
Indus Towers Limited campus visit date?",Indus Towers Limited visited for recruitments on 11th Jan 2025 during the 2024-2025 session.,"placements, company, indus_towers_limited, date, visit, schedule, 2024-2025"
87,Placements,Company Information,Indus Towers Limited Eligible Branches (2024-2025),"Which branches were eligible for Indus Towers Limited in 2024-2025?
Who could apply for Indus Towers Limited?
Indus Towers Limited eligibility","For the 2024-2025 placement drive, the eligible branches for Indus Towers Limited were: EE, ME, ECE.","placements, company, indus_towers_limited, branches, eligibility, apply, 2024-2025"
88,Placements,Company Information,Pinnacle Infotech Package (2024-2025),"What was the package from Pinnacle Infotech in 2024-2025?
Tell me the salary Pinnacle Infotech offered.
Pinnacle Infotech ctc","In the 2024-2025 session, Pinnacle Infotech offered a package of 3.6 LPA.","placements, company, pinnacle_infotech, package, salary, ctc, 2024-2025"
89,Placements,Company Information,Pinnacle Infotech Visiting Date (2024-2025),"When did Pinnacle Infotech visit for placements in 2024-2025?
Pinnacle Infotech campus visit date?",Pinnacle Infotech visited for recruitments on 16th Jan 2025 during the 2024-2025 session.,"placements, company, pinnacle_infotech, date, visit, schedule, 2024-2025"
90,Placements,Company Information,Pinnacle Infotech Eligible Branches (2024-2025),"Which branches were eligible for Pinnacle Infotech in 2024-2025?
Who could apply for Pinnacle Infotech?
Pinnacle Infotech eligibility","For the 2024-2025 placement drive, the eligible branches for Pinnacle Infotech were: EE, ME.","placements, company, pinnacle_infotech, branches, eligibility, apply, 2024-2025"
91,Placements,Company Information,Intersoft Data Labs Package (2024-2025),"What was the package from Intersoft Data Labs in 2024-2025?
Tell me the salary Intersoft Data Labs offered.
Intersoft Data Labs ctc","In the 2024-2025 session, Intersoft Data Labs offered a package of 3.5 LPA.","placements, company, intersoft_data_labs, package, salary, ctc, 2024-2025"
92,Placements,Company Information,Intersoft Data Labs Visiting Date (2024-2025),"When did Intersoft Data Labs visit for placements in 2024-2025?
Intersoft Data Labs campus visit date?",Intersoft Data Labs visited for recruitments on 23rd Jan 2025 during the 2024-2025 session.,"placements, company, intersoft_data_labs, date, visit, schedule, 2024-2025"
93,Placements,Company Information,Intersoft Data Labs Eligible Branches (2024-2025),"Which branches were eligible for Intersoft Data Labs in 2024-2025?
Who could apply for Intersoft Data Labs?
Intersoft Data Labs eligibility","For the 2024-2025 placement drive, the eligible branches for Intersoft Data Labs were: CSE, IT, AIDS, ECE.","placements, company, intersoft_data_labs, branches, eligibility, apply, 2024-2025"
94,Placements,Company Information,SBI Pension Funds Package (2024-2025),"What was the package from SBI Pension Funds in 2024-2025?
Tell me the salary SBI Pension Funds offered.
SBI Pension Funds ctc","In the 2024-2025 session, SBI Pension Funds offered a package of 4.0 LPA.","placements, company, sbi_pension_funds, package, salary, ctc, 2024-2025"
95,Placements,Company Information,SBI Pension Funds Visiting Date (2024-2025),"When did SBI Pension Funds visit for placements in 2024-2025?
SBI Pension Funds campus visit date?",SBI Pension Funds visited for recruitments on 29th Jan 2025 during the 2024-2025 session.,"placements, company, sbi_pension_funds, date, visit, schedule, 2024-2025"
